amenities,wifi,furnished,Heat,Hydro,Water,pets,airConditioning,smoking,outdoorSpace,squareFootage,parkingAvailability,leasePeriod,bedrooms,bathrooms,buildingType,rent,location,laundry,dishwasher,fridge
,,No,No,No,Yes,Yes,No,No,Yard;;,1;250,3+,1 Year,3 + Den,1,House,$2700,Halifax; NS B3N 2E1,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,813,0,1 Year,2,1,Apartment,Please Contact,5536 Sackville Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,700,1,1 Year,1,1,Apartment,$1895,Supreme Court; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;Storage Space;;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,1;179,0,1 Year,2,2,Apartment,$2210,16 Bently Drive; Halifax; NS; B3S 0G9,Laundry (In Unit),,
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,,798,0,1 Year,1,1,Apartment,Please Contact,Halifax; NS B3K 4W5,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,,1;000,0,1 Year,2,2,Apartment,Please Contact,Halifax; NS B3K 4W5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,No,No,No,Yard;;,Not Available,1,1 Year,3,1,Apartment,$2700,6353 Edinburgh St; Halifax; NS; B3L 1W3,Laundry (In Building),,Fridge / Freezer
,,No,,,,Yes,Yes,No,,700,1,1 Year,1 + Den,1,Apartment,Please Contact,2901 Windsor St; Halifax; B3K 5E5,,,
Gym;;;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,No,No,Yes,No,Yes,No,;Balcony;,Not Available,0,1 Year,2,1,Apartment,$2595,5620 South Street; Halifax; NS; B3J 0A7,Laundry (In Building),Dishwasher,Fridge / Freezer
;;;;;Storage Space;;,Cable / TV;Internet;,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yard;;,999,1,Month-to-month,2,1.5,Apartment,$1600,Halifax; NS B3H 2X3,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,No,No,No,;Balcony;,Not Available,1,1 Year,1,1,Apartment,$1750,2 SYBYL COURT; HALIFAX; NS; B3M 1G8,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,No,Yard;Balcony;,Not Available,1,1 Year,2,1,Apartment,$1975,6345 Edinburgh St; Halifax; NS; B3L 1W3,Laundry (In Building),,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,1;385,0,1 Year,2 + Den,2,Apartment,$2495,Appaloosa Run; Hammonds Plains; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,No,Outdoors only,Yard;Balcony;,2;500,2,1 Year,3,2.5,House,$2500,Broadholme Lane; Halifax; NS,Laundry (In Unit),,
,,No,No,No,Yes,No,No,Outdoors only,;Balcony;,1,0,1 Year,1,1,Apartment,$1795,2360 Hunter Street; Halifax; NS; B3K 4V6,Laundry (In Building),,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,790,0,1 Year,1,1,Apartment,$1895,Appaloosa Run; Hammonds Plains; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,1;010,0,1 Year,1 + Den,1.5,Apartment,$1995,Appaloosa Run; Hammonds Plains; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Yes,No,No,Yard;Balcony;,Not Available,0,1 Year,5+,1.5,House,$1375,1686 Robie St; Halifax; NS; B3H 3E7,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;Bicycle Parking;;;,,No,No,No,Yes,No,Yes,No,;Balcony;,Not Available,0,1 Year,2,1,Apartment,$2600,1134 Tower Rd; Halifax; NS; B3H 2Y5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,Yes,Yes,Yes,No,Outdoors only,;Balcony;,1;700,0,1 Year,3,3,Apartment,$3900,5547 Inglis Street; Halifax; NS,Laundry (In Unit),,
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,No,No,No,,1;437,0,1 Year,2 + Den,2,Apartment,$4195,5450 Kaye Street; Halifax; NS; B3K 0G7,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,2,1,Apartment,Please Contact,30 Ridgevalley Road; Halifax; NS; B3P 2J8,Laundry (In Building),,Fridge / Freezer
,,No,,,,No,No,No,,4;400,0,1 Year,3,3,House,$3995,12 Palmer Hill; Halifax; NS; B3N 1S5,Laundry (In Unit),Dishwasher,Fridge / Freezer
;Pool;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5415 Victoria Road; Halifax; NS; B3H 4K5,Laundry (In Building),,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,Not Available,0,1 Year,1 + Den,1,Apartment,Please Contact,230 Larry Uteck Blvd; Bedford; NS; B3N 0N1,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,Yes,No,;Balcony;,1;000,1,1 Year,2 + Den,2,Apartment,$2200,Adelaide Avenue; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Yes,No,No,,Not Available,0,1 Year,1,1,Apartment,Please Contact,1715 Lower Water St; Halifax; NS; B3L 0J4,,,
,,No,,,,Yes,No,No,,Not Available,0,1 Year,1,1,Apartment,Please Contact,1715 Lower Water St; Halifax; NS; B3L 0J4,,,
;;;;;Storage Space;;,,No,,,,Yes,No,No,,861,0,1 Year,2,1,Apartment,$2095,54 Paige Plaza; Lower Sackville; NS; B4E 0J6,,,
Gym;;Concierge;24 Hour Security;;;;,,No,No,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,2,2,Apartment,Please Contact,1545 / 1551 South Park Street; Halifax; NS; B3J 4B3,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;Bicycle Parking;;;,,No,Yes,No,Yes,Limited,No,Yes,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1015 Barrington Street; Halifax; NS; B3H 4R4,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;Concierge;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1545 / 1551 South Park Street; Halifax; NS; B3J 4B3,Laundry (In Unit),Dishwasher,Fridge / Freezer
